trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,LINK,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 03:15,16.742,16.995,1000.0,100.0,0.0,NO,SHORT,SHORT,16.437,16.93011,-15.1117,0.7194,-15.8311,TRAIL
2,LINK,M15+H1,LONG,2025-08-05 10:15,2025-08-05 14:15,16.895,16.406,1000.0,100.0,0.0,NO,LONG,LONG,16.97,16.4609,-28.9435,0.7037,-29.6471,TRAIL
3,LINK,M15+H1,SHORT,2025-08-16 05:00,2025-08-16 15:00,21.781,22.061,1000.0,100.0,0.0,NO,SHORT,SHORT,21.39,22.0317,-12.8552,0.7186,-13.5738,TRAIL
4,LINK,M15+H1,LONG,2025-08-18 23:00,2025-08-19 01:15,26.042,25.211,1000.0,100.0,0.0,NO,LONG,LONG,26.104,25.32088,-31.91,0.7026,-32.6126,TRAIL
5,LINK,M15+H1,SHORT,2025-08-24 14:30,2025-08-24 18:30,25.588,26.357,1000.0,100.0,0.0,NO,SHORT,,25.476,26.24028,-30.0531,0.7247,-30.7779,TRAIL
6,LINK,M15+H1,LONG,2025-09-09 14:45,2025-09-11 13:00,23.195,23.488,1000.0,100.0,0.0,NO,LONG,LONG,24.261,23.53317,12.632,0.7185,11.9135,TRAIL
7,LINK,M15+H1,SHORT,2025-09-16 03:45,2025-09-17 19:45,23.347,23.436,1000.0,100.0,0.0,NO,SHORT,SHORT,22.727,23.40881,-3.8121,0.7154,-4.5274,TRAIL
8,LINK,M15+H1,LONG,2025-09-19 04:45,2025-09-19 11:00,24.66,24.083,1000.0,100.0,0.0,NO,LONG,LONG,24.849,24.10353,-23.3982,0.7056,-24.1039,TRAIL
9,LINK,M15+H1,SHORT,2025-09-21 12:30,2025-09-22 06:00,23.165,21.012,1000.0,100.0,0.0,NO,SHORT,SHORT,20.032,20.63296,92.9419,0.6808,92.2611,TRAIL
10,LINK,M15+H1,LONG,2025-09-29 07:30,2025-09-30 14:15,21.265,21.22,1000.0,100.0,0.0,NO,LONG,,21.889,21.23233,-2.1162,0.7132,-2.8294,TRAIL
11,LINK,M15+H1,SHORT,2025-10-06 00:00,2025-10-06 08:45,21.972,22.141,1000.0,100.0,0.0,NO,SHORT,SHORT,21.469,22.11307,-7.6916,0.7167,-8.4084,TRAIL
12,LINK,M15+H1,LONG,2025-10-07 04:15,2025-10-07 07:30,23.339,22.868,1000.0,100.0,0.0,NO,LONG,LONG,23.65,22.9405,-20.1808,0.7068,-20.8876,TRAIL
13,LINK,M15+H1,SHORT,2025-10-10 16:15,2025-10-10 21:00,21.437,17.958,1000.0,100.0,0.0,NO,SHORT,SHORT,17.373,17.89419,162.2895,0.6561,161.6334,TRAIL
14,LINK,M15+H1,LONG,2025-10-20 17:45,2025-10-21 03:00,18.737,18.359,1000.0,100.0,0.0,NO,LONG,LONG,18.949,18.38053,-20.174,0.7068,-20.8808,TRAIL
15,LINK,M15+H1,SHORT,2025-10-31 02:00,2025-10-31 11:45,16.845,17.326,1000.0,100.0,0.0,NO,SHORT,SHORT,16.809,17.31327,-28.5545,0.7242,-29.2787,TRAIL
16,LINK,M15+H1,LONG,2025-11-08 04:30,2025-11-08 13:45,15.885,15.415,1000.0,100.0,0.0,NO,LONG,LONG,15.926,15.44822,-29.5877,0.7034,-30.2911,TRAIL
17,LINK,M15+H1,SHORT,2025-11-13 17:30,2025-11-13 23:15,14.77,14.607,1000.0,100.0,0.0,NO,SHORT,SHORT,14.138,14.56214,11.0359,0.7101,10.3258,TRAIL
18,LINK,M15+H1,LONG,2025-11-25 23:30,2025-11-26 12:00,13.105,12.766,1000.0,100.0,0.0,NO,LONG,LONG,13.164,12.76908,-25.868,0.7048,-26.5728,TRAIL
19,LINK,M15+H1,SHORT,2025-11-30 11:45,2025-11-30 16:15,12.994,13.404,1000.0,100.0,0.0,NO,SHORT,,12.964,13.35292,-31.553,0.7253,-32.2783,TRAIL
20,LINK,M15+H1,LONG,2025-12-10 03:00,2025-12-10 20:45,14.271,14.434,1000.0,100.0,0.0,NO,LONG,LONG,14.884,14.43748,11.4218,0.7181,10.7037,TRAIL
21,LINK,M15+H1,SHORT,2025-12-14 05:30,2025-12-15 01:45,13.667,13.5,1000.0,100.0,0.0,NO,SHORT,,13.084,13.47652,12.2192,0.7096,11.5096,TRAIL
22,LINK,M15+H1,LONG,2025-12-22 10:00,2025-12-22 19:15,12.664,12.517,1000.0,100.0,0.0,NO,LONG,LONG,12.955,12.56635,-11.6077,0.7099,-12.3176,TRAIL
23,LINK,M15+H1,SHORT,2025-12-23 17:15,2025-12-24 22:45,12.368,12.361,1000.0,100.0,0.0,NO,SHORT,SHORT,11.991,12.35073,0.566,0.7138,-0.1478,TRAIL
24,LINK,M15+H1,LONG,2025-12-28 10:00,2025-12-29 09:30,12.435,12.536,1000.0,100.0,0.0,NO,LONG,LONG,13.035,12.64395,8.1222,0.7169,7.4053,TRAIL
25,LINK,M15+H1,SHORT,2026-01-08 18:00,2026-01-09 16:00,13.267,13.431,1000.0,100.0,0.0,NO,SHORT,SHORT,13.026,13.41678,-12.3615,0.7184,-13.0799,TRAIL
26,LINK,M15+H1,LONG,2026-01-14 14:30,2026-01-15 01:45,14.064,13.963,1000.0,100.0,0.0,NO,LONG,LONG,14.404,13.97188,-7.1815,0.7114,-7.8929,TRAIL
27,LINK,M15+H1,SHORT,2026-01-18 13:15,2026-01-19 00:00,13.702,12.805,1000.0,100.0,0.0,NO,SHORT,SHORT,12.3,12.669,65.4649,0.6906,64.7743,TRAIL
28,LINK,M15+H1,LONG,2026-02-15 03:45,2026-02-15 12:45,9.065,8.831,1000.0,100.0,0.0,NO,LONG,LONG,9.239,8.96183,-25.8136,0.7048,-26.5184,TRAIL
29,LINK,M15+H1,SHORT,2026-02-18 13:45,2026-02-20 00:00,8.698,8.596,1000.0,100.0,0.0,NO,SHORT,SHORT,8.338,8.58814,11.7268,0.7098,11.017,TRAIL
30,LINK,M15+H1,LONG,2026-02-26 02:30,2026-02-26 16:30,9.237,9.007,1000.0,100.0,0.0,NO,LONG,LONG,9.338,9.05786,-24.8999,0.7051,-25.605,TRAIL
31,LINK,M15+H1,SHORT,2026-03-01 20:00,2026-03-02 01:00,8.619,8.85,1000.0,100.0,0.0,NO,SHORT,SHORT,8.532,8.78796,-26.8013,0.7236,-27.5248,TRAIL
32,LINK,M15+H1,LONG,2026-03-05 02:00,2026-03-05 15:15,9.317,9.194,1000.0,100.0,0.0,NO,LONG,LONG,9.482,9.19754,-13.2017,0.7093,-13.911,TRAIL
33,LINK,M15+H1,SHORT,2026-03-08 09:30,2026-03-09 03:00,8.68,8.752,1000.0,100.0,0.0,NO,SHORT,SHORT,8.386,8.63758,-8.2949,0.717,-9.0119,TRAIL
34,LINK,M15+H1,LONG,2026-03-10 14:45,2026-03-11 05:30,9.144,8.885,1000.0,100.0,0.0,NO,LONG,LONG,9.18,8.9046,-28.3246,0.7039,-29.0285,TRAIL
35,LINK,M15+H1,SHORT,2026-03-20 00:15,2026-03-22 03:15,9.064,8.929,1000.0,100.0,0.0,NO,SHORT,SHORT,8.664,8.92392,14.8941,0.7087,14.1854,TRAIL
36,LINK,M15+H1,LONG,2026-03-24 13:15,2026-03-26 05:00,9.183,9.182,1000.0,100.0,0.0,NO,LONG,LONG,9.493,9.20821,-0.1089,0.714,-0.8229,TRAIL
37,LINK,M15+H1,SHORT,2026-03-28 10:30,2026-03-30 00:15,8.506,8.503,1000.0,100.0,0.0,NO,SHORT,SHORT,8.184,8.42952,0.3527,0.7139,-0.3612,TRAIL
38,LINK,M15+H1,LONG,2026-03-31 16:45,2026-04-02 01:15,8.782,8.78,1000.0,100.0,0.0,NO,LONG,LONG,9.193,8.91721,-0.2277,0.7139,-0.9417,TRAIL
39,LINK,M15+H1,SHORT,2026-04-04 09:15,2026-04-05 23:00,8.641,8.752,1000.0,100.0,0.0,NO,SHORT,LONG,8.471,8.72513,-12.8457,0.7186,-13.5643,TRAIL
40,LINK,M15+H1,LONG,2026-04-05 23:30,2026-04-06 22:45,8.797,8.814,1000.0,100.0,0.0,NO,LONG,LONG,9.153,8.87841,1.9325,0.7147,1.2178,TRAIL
41,LINK,M15+H1,SHORT,2026-04-13 08:15,2026-04-13 19:30,8.723,8.963,1000.0,100.0,0.0,NO,SHORT,,8.678,8.93834,-27.5135,0.7238,-28.2373,TRAIL
42,LINK,M15+H1,LONG,2026-04-16 11:45,2026-04-17 05:00,9.283,9.354,1000.0,100.0,0.0,NO,LONG,LONG,9.677,9.38669,7.6484,0.7167,6.9317,TRAIL
43,LINK,M15+H1,SHORT,2026-04-19 12:15,2026-04-20 07:15,9.227,9.299,1000.0,100.0,0.0,NO,SHORT,SHORT,8.993,9.26279,-7.8032,0.7168,-8.52,TRAIL
44,LINK,M15+H1,LONG,2026-04-22 14:45,2026-04-23 02:00,9.504,9.213,1000.0,100.0,0.0,NO,LONG,,9.508,9.22276,-30.6187,0.7031,-31.3218,TRAIL
45,LINK,M15+H1,SHORT,2026-04-28 08:30,2026-05-01 03:30,9.248,9.172,1000.0,100.0,0.0,NO,SHORT,SHORT,8.904,9.17112,8.218,0.7111,7.5069,TRAIL
