trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,NEAR,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,2.505,2.534,1000.0,100.0,0.0,NO,SHORT,SHORT,2.452,2.52556,-11.5768,0.7181,-12.295,TRAIL
2,NEAR,M15+H1,LONG,2025-08-06 15:00,2025-08-08 15:30,2.493,2.622,1000.0,100.0,0.0,NO,LONG,LONG,2.716,2.63452,51.7449,0.7325,51.0124,TRAIL
3,NEAR,M15+H1,SHORT,2025-08-12 08:45,2025-08-12 12:30,2.613,2.671,1000.0,100.0,0.0,NO,SHORT,SHORT,2.564,2.64092,-22.1967,0.7219,-22.9186,TRAIL
4,NEAR,M15+H1,LONG,2025-08-14 07:30,2025-08-14 10:30,2.972,2.934,1000.0,100.0,0.0,NO,LONG,LONG,3.046,2.95462,-12.786,0.7094,-13.4954,TRAIL
5,NEAR,M15+H1,SHORT,2025-08-16 09:45,2025-08-17 04:45,2.696,2.761,1000.0,100.0,0.0,NO,SHORT,,2.68,2.7604,-24.1098,0.7226,-24.8324,TRAIL
6,NEAR,M15+H1,LONG,2025-08-23 02:45,2025-08-24 06:45,2.635,2.63,1000.0,100.0,0.0,NO,LONG,LONG,2.718,2.63646,-1.8975,0.7133,-2.6109,TRAIL
7,NEAR,M15+H1,SHORT,2025-08-26 08:15,2025-08-26 16:15,2.406,2.484,1000.0,100.0,0.0,NO,SHORT,SHORT,2.404,2.47612,-32.419,0.7256,-33.1445,TRAIL
8,NEAR,M15+H1,LONG,2025-09-04 01:30,2025-09-04 09:30,2.465,2.396,1000.0,100.0,0.0,NO,LONG,,2.471,2.39687,-27.9919,0.704,-28.6959,TRAIL
9,NEAR,M15+H1,SHORT,2025-09-06 17:45,2025-09-07 05:30,2.39,2.447,1000.0,100.0,0.0,NO,SHORT,,2.374,2.44522,-23.8494,0.7225,-24.5719,TRAIL
10,NEAR,M15+H1,LONG,2025-09-08 01:30,2025-09-09 12:30,2.456,2.71,1000.0,100.0,0.0,NO,LONG,LONG,2.795,2.71115,103.4202,0.7509,102.6693,TRAIL
11,NEAR,M15+H1,SHORT,2025-09-15 21:00,2025-09-16 07:15,2.626,2.666,1000.0,100.0,0.0,NO,SHORT,SHORT,2.577,2.65431,-15.2323,0.7194,-15.9517,TRAIL
12,NEAR,M15+H1,LONG,2025-09-20 15:15,2025-09-21 00:15,3.233,3.134,1000.0,100.0,0.0,NO,LONG,LONG,3.235,3.13795,-30.6217,0.7031,-31.3248,TRAIL
13,NEAR,M15+H1,SHORT,2025-09-23 02:30,2025-09-23 03:30,2.882,2.95,1000.0,100.0,0.0,NO,SHORT,SHORT,2.854,2.93962,-23.5947,0.7224,-24.3171,TRAIL
14,NEAR,M15+H1,LONG,2025-10-02 13:45,2025-10-03 07:15,2.885,2.892,1000.0,100.0,0.0,NO,LONG,LONG,2.985,2.89545,2.4263,0.7149,1.7115,TRAIL
15,NEAR,M15+H1,SHORT,2025-10-09 00:00,2025-10-09 12:45,2.938,2.921,1000.0,100.0,0.0,NO,SHORT,SHORT,2.835,2.92005,5.7862,0.7119,5.0743,TRAIL
16,NEAR,M15+H1,LONG,2025-10-15 08:15,2025-10-15 10:15,2.503,2.437,1000.0,100.0,0.0,NO,LONG,,2.52,2.4444,-26.3684,0.7046,-27.0729,TRAIL
17,NEAR,M15+H1,SHORT,2025-10-16 16:15,2025-10-16 16:45,2.243,2.299,1000.0,100.0,0.0,NO,SHORT,SHORT,2.223,2.28969,-24.9666,0.7229,-25.6895,TRAIL
18,NEAR,M15+H1,LONG,2025-10-21 15:00,2025-10-21 20:00,2.338,2.288,1000.0,100.0,0.0,NO,LONG,LONG,2.363,2.29211,-21.3858,0.7064,-22.0922,TRAIL
19,NEAR,M15+H1,SHORT,2025-10-23 12:00,2025-10-23 16:45,2.168,2.223,1000.0,100.0,0.0,NO,SHORT,,2.153,2.21759,-25.369,0.7231,-26.0921,TRAIL
20,NEAR,M15+H1,LONG,2025-10-26 21:30,2025-10-27 12:45,2.341,2.341,1000.0,100.0,0.0,NO,LONG,LONG,2.418,2.34546,0.0,0.714,-0.714,TRAIL
21,NEAR,M15+H1,SHORT,2025-10-30 04:45,2025-10-30 23:45,2.213,2.097,1000.0,100.0,0.0,NO,SHORT,SHORT,2.028,2.08884,52.4175,0.6953,51.7222,TRAIL
22,NEAR,M15+H1,LONG,2025-11-08 04:00,2025-11-08 05:30,2.724,2.651,1000.0,100.0,0.0,NO,LONG,LONG,2.763,2.68011,-26.7988,0.7044,-27.5033,TRAIL
23,NEAR,M15+H1,SHORT,2025-11-12 07:30,2025-11-12 09:00,2.579,2.635,1000.0,100.0,0.0,NO,SHORT,SHORT,2.555,2.63165,-21.7138,0.7218,-22.4356,TRAIL
24,NEAR,M15+H1,LONG,2025-12-09 15:45,2025-12-09 20:15,1.833,1.822,1000.0,100.0,0.0,NO,LONG,LONG,1.885,1.82845,-6.0011,0.7119,-6.7129,TRAIL
25,NEAR,M15+H1,SHORT,2025-12-11 18:45,2025-12-11 21:15,1.657,1.715,1000.0,100.0,0.0,NO,SHORT,SHORT,1.653,1.70259,-35.003,0.7265,-35.7295,TRAIL
26,NEAR,M15+H1,LONG,2025-12-28 14:30,2025-12-29 09:00,1.59,1.562,1000.0,100.0,0.0,NO,LONG,LONG,1.611,1.56267,-17.6101,0.7077,-18.3178,TRAIL
27,NEAR,M15+H1,SHORT,2025-12-31 08:30,2025-12-31 21:30,1.518,1.516,1000.0,100.0,0.0,NO,SHORT,SHORT,1.467,1.51101,1.3175,0.7135,0.604,TRAIL
28,NEAR,M15+H1,LONG,2026-01-02 12:30,2026-01-03 07:15,1.642,1.662,1000.0,100.0,0.0,NO,LONG,LONG,1.718,1.66646,12.1803,0.7183,11.4619,TRAIL
29,NEAR,M15+H1,SHORT,2026-01-08 16:00,2026-01-09 15:15,1.693,1.726,1000.0,100.0,0.0,NO,SHORT,SHORT,1.66,1.7098,-19.492,0.721,-20.213,TRAIL
30,NEAR,M15+H1,LONG,2026-01-14 05:30,2026-01-14 18:30,1.831,1.801,1000.0,100.0,0.0,NO,LONG,LONG,1.863,1.80711,-16.3845,0.7082,-17.0926,TRAIL
31,NEAR,M15+H1,SHORT,2026-01-18 03:15,2026-01-19 00:00,1.728,1.542,1000.0,100.0,0.0,NO,SHORT,SHORT,1.44,1.4832,107.6389,0.6756,106.9633,TRAIL
32,NEAR,M15+H1,LONG,2026-02-15 03:45,2026-02-15 12:45,1.071,1.052,1000.0,100.0,0.0,NO,LONG,LONG,1.09,1.0573,-17.7404,0.7077,-18.4481,TRAIL
