trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,SEI,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,0.2898,0.2927,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2832,0.291696,-10.0069,0.7176,-10.7245,TRAIL
2,SEI,M15+H1,LONG,2025-08-05 03:45,2025-08-05 08:00,0.298,0.2903,1000.0,100.0,0.0,NO,LONG,LONG,0.2998,0.290806,-25.8389,0.7048,-26.5437,TRAIL
3,SEI,M15+H1,SHORT,2025-08-19 02:00,2025-08-19 10:30,0.323,0.3219,1000.0,100.0,0.0,NO,SHORT,,0.3125,0.321875,3.4056,0.7128,2.6928,TRAIL
4,SEI,M15+H1,LONG,2025-08-23 12:00,2025-08-24 06:15,0.321,0.3167,1000.0,100.0,0.0,NO,LONG,LONG,0.3266,0.316802,-13.3956,0.7092,-14.1049,TRAIL
5,SEI,M15+H1,SHORT,2025-08-26 12:00,2025-08-26 18:15,0.288,0.2961,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2863,0.294889,-28.125,0.724,-28.849,TRAIL
6,SEI,M15+H1,LONG,2025-09-05 07:30,2025-09-05 14:15,0.2901,0.2904,1000.0,100.0,0.0,NO,LONG,LONG,0.3,0.291,1.0341,0.7144,0.3198,TRAIL
7,SEI,M15+H1,SHORT,2025-09-16 06:15,2025-09-17 19:30,0.3153,0.3173,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3076,0.316828,-6.3432,0.7163,-7.0594,TRAIL
8,SEI,M15+H1,LONG,2025-09-19 04:15,2025-09-19 09:30,0.3387,0.3303,1000.0,100.0,0.0,NO,LONG,LONG,0.3412,0.330964,-24.8007,0.7051,-25.5059,TRAIL
9,SEI,M15+H1,SHORT,2025-09-23 00:30,2025-09-23 06:15,0.2887,0.291,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2817,0.290151,-7.9667,0.7168,-8.6836,TRAIL
10,SEI,M15+H1,LONG,2025-09-29 14:15,2025-09-30 01:30,0.2833,0.2761,1000.0,100.0,0.0,NO,LONG,,0.2848,0.276256,-25.4148,0.7049,-26.1197,TRAIL
11,SEI,M15+H1,SHORT,2025-10-06 00:30,2025-10-06 11:15,0.2891,0.2953,1000.0,100.0,0.0,NO,SHORT,,0.2866,0.295198,-21.4459,0.7217,-22.1675,TRAIL
12,SEI,M15+H1,LONG,2025-10-07 03:00,2025-10-07 08:00,0.3013,0.2954,1000.0,100.0,0.0,NO,LONG,,0.3047,0.295559,-19.5818,0.707,-20.2888,TRAIL
13,SEI,M15+H1,SHORT,2025-10-08 15:45,2025-10-08 17:15,0.2833,0.2911,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2826,0.291078,-27.5327,0.7238,-28.2565,TRAIL
14,SEI,M15+H1,LONG,2025-10-26 04:00,2025-10-27 08:15,0.1986,0.2047,1000.0,100.0,0.0,NO,LONG,LONG,0.2112,0.204864,30.715,0.725,29.99,TRAIL
15,SEI,M15+H1,SHORT,2025-10-30 08:45,2025-10-30 22:15,0.1943,0.1817,1000.0,100.0,0.0,NO,SHORT,SHORT,0.1764,0.181692,64.8482,0.6908,64.1573,TRAIL
16,SEI,M15+H1,LONG,2025-11-08 06:30,2025-11-08 13:15,0.1823,0.1879,1000.0,100.0,0.0,NO,LONG,LONG,0.1949,0.189053,30.7186,0.725,29.9936,TRAIL
17,SEI,M15+H1,SHORT,2025-11-13 17:45,2025-11-13 23:00,0.1669,0.1676,1000.0,100.0,0.0,NO,SHORT,SHORT,0.162,0.16686,-4.1941,0.7155,-4.9096,TRAIL
