trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,SOL,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 16:00,170.89,169.38,1000.0,100.0,0.0,NO,SHORT,SHORT,164.42,169.3526,8.8361,0.7108,8.1252,TRAIL
2,SOL,M15+H1,LONG,2025-08-06 14:45,2025-08-07 16:45,167.79,168.14,1000.0,100.0,0.0,NO,LONG,LONG,173.43,168.2271,2.0859,0.7147,1.3712,TRAIL
3,SOL,M15+H1,SHORT,2025-08-18 01:30,2025-08-19 11:45,187.46,182.57,1000.0,100.0,0.0,NO,SHORT,SHORT,177.25,182.5675,26.0856,0.7047,25.3809,TRAIL
4,SOL,M15+H1,LONG,2025-08-23 22:00,2025-08-24 10:30,203.41,205.49,1000.0,100.0,0.0,NO,LONG,LONG,212.22,205.8534,10.2257,0.7177,9.508,TRAIL
5,SOL,M15+H1,SHORT,2025-08-26 07:45,2025-08-26 16:30,188.81,192.57,1000.0,100.0,0.0,NO,SHORT,SHORT,186.54,192.1362,-19.9142,0.7211,-20.6353,TRAIL
6,SOL,M15+H1,LONG,2025-08-28 16:15,2025-08-29 07:00,212.85,208.61,1000.0,100.0,0.0,NO,LONG,LONG,217.95,211.4115,-19.9201,0.7069,-20.627,TRAIL
7,SOL,M15+H1,SHORT,2025-08-31 23:15,2025-09-01 07:45,202.35,202.84,1000.0,100.0,0.0,NO,SHORT,SHORT,195.81,201.6843,-2.4215,0.7149,-3.1364,TRAIL
8,SOL,M15+H1,LONG,2025-09-03 19:45,2025-09-04 14:00,210.29,205.11,1000.0,100.0,0.0,NO,LONG,LONG,211.87,205.5139,-24.6327,0.7052,-25.3379,TRAIL
9,SOL,M15+H1,SHORT,2025-09-06 13:15,2025-09-07 15:30,201.95,205.15,1000.0,100.0,0.0,NO,SHORT,,199.13,205.1039,-15.8455,0.7197,-16.5652,TRAIL
10,SOL,M15+H1,LONG,2025-09-09 00:00,2025-09-09 15:30,214.39,212.13,1000.0,100.0,0.0,NO,LONG,LONG,219.74,213.1478,-10.5415,0.7102,-11.2518,TRAIL
11,SOL,M15+H1,SHORT,2025-09-16 01:45,2025-09-16 17:00,233.85,239.35,1000.0,100.0,0.0,NO,SHORT,SHORT,231.18,238.1154,-23.5194,0.7224,-24.2417,TRAIL
12,SOL,M15+H1,LONG,2025-09-19 03:00,2025-09-19 11:30,247.2,240.2,1000.0,100.0,0.0,NO,LONG,LONG,247.67,240.2399,-28.3172,0.7039,-29.021,TRAIL
13,SOL,M15+H1,SHORT,2025-09-21 17:15,2025-09-22 06:00,236.58,223.16,1000.0,100.0,0.0,NO,SHORT,SHORT,212.29,218.6587,56.725,0.6937,56.0312,TRAIL
14,SOL,M15+H1,LONG,2025-09-29 09:45,2025-09-30 08:30,208.12,207.9,1000.0,100.0,0.0,NO,LONG,LONG,214.68,208.2396,-1.0571,0.7136,-1.7707,TRAIL
15,SOL,M15+H1,SHORT,2025-10-08 08:45,2025-10-08 17:15,221.48,226.3,1000.0,100.0,0.0,NO,SHORT,SHORT,218.72,225.2816,-21.7627,0.7218,-22.4845,TRAIL
16,SOL,M15+H1,LONG,2025-10-15 04:00,2025-10-15 11:45,201.3,202.48,1000.0,100.0,0.0,NO,LONG,LONG,208.85,202.5845,5.8619,0.7161,5.1458,TRAIL
17,SOL,M15+H1,SHORT,2025-10-17 16:30,2025-10-18 07:00,182.85,187.82,1000.0,100.0,0.0,NO,SHORT,SHORT,181.29,186.7287,-27.1807,0.7237,-27.9045,TRAIL
18,SOL,M15+H1,LONG,2025-10-24 19:00,2025-10-27 13:30,192.47,199.08,1000.0,100.0,0.0,NO,LONG,LONG,205.3,199.141,34.343,0.7263,33.6168,TRAIL
19,SOL,M15+H1,SHORT,2025-10-31 01:30,2025-10-31 15:00,186.02,189.82,1000.0,100.0,0.0,NO,SHORT,SHORT,183.57,189.0771,-20.4279,0.7213,-21.1492,TRAIL
20,SOL,M15+H1,LONG,2025-11-08 09:15,2025-11-08 14:00,161.91,157.25,1000.0,100.0,0.0,NO,LONG,,162.29,157.4213,-28.7814,0.7037,-29.4851,TRAIL
21,SOL,M15+H1,SHORT,2025-11-12 23:15,2025-11-13 05:30,153.2,155.35,1000.0,100.0,0.0,NO,SHORT,SHORT,150.29,154.7987,-14.0339,0.719,-14.753,TRAIL
22,SOL,M15+H1,LONG,2025-11-26 05:30,2025-11-26 12:45,138.73,135.55,1000.0,100.0,0.0,NO,LONG,LONG,139.9,135.703,-22.9222,0.7058,-23.628,TRAIL
23,SOL,M15+H1,SHORT,2025-12-01 00:00,2025-12-01 23:15,130.79,127.09,1000.0,100.0,0.0,NO,SHORT,SHORT,123.05,126.7415,28.2896,0.7039,27.5857,TRAIL
24,SOL,M15+H1,LONG,2025-12-03 14:15,2025-12-04 13:00,140.79,142.26,1000.0,100.0,0.0,NO,LONG,LONG,146.87,142.4639,10.4411,0.7177,9.7234,TRAIL
25,SOL,M15+H1,SHORT,2025-12-06 12:00,2025-12-07 15:45,132.72,131.93,1000.0,100.0,0.0,NO,SHORT,SHORT,127.55,131.3765,5.9524,0.7119,5.2405,TRAIL
26,SOL,M15+H1,LONG,2025-12-10 09:45,2025-12-10 20:45,138.89,138.28,1000.0,100.0,0.0,NO,LONG,LONG,142.57,138.2929,-4.392,0.7124,-5.1044,TRAIL
27,SOL,M15+H1,SHORT,2025-12-11 14:00,2025-12-11 18:15,131.13,133.95,1000.0,100.0,0.0,NO,SHORT,SHORT,129.68,133.5704,-21.5054,0.7217,-22.2271,TRAIL
28,SOL,M15+H1,LONG,2025-12-22 00:00,2025-12-22 19:45,127.54,124.58,1000.0,100.0,0.0,NO,LONG,,128.74,124.8778,-23.2084,0.7057,-23.9141,TRAIL
29,SOL,M15+H1,SHORT,2025-12-23 18:00,2025-12-25 16:15,123.2,124.13,1000.0,100.0,0.0,NO,SHORT,,120.51,124.1253,-7.5487,0.7167,-8.2654,TRAIL
30,SOL,M15+H1,LONG,2025-12-28 16:45,2025-12-29 09:30,124.25,126.1,1000.0,100.0,0.0,NO,LONG,LONG,130.21,126.3037,14.8893,0.7193,14.17,TRAIL
31,SOL,M15+H1,SHORT,2026-01-10 08:15,2026-01-11 16:15,136.02,140.21,1000.0,100.0,0.0,NO,SHORT,,135.3,139.359,-30.8043,0.725,-31.5293,TRAIL
32,SOL,M15+H1,LONG,2026-01-12 08:45,2026-01-12 21:15,139.98,139.55,1000.0,100.0,0.0,NO,LONG,LONG,144.26,139.9322,-3.0719,0.7129,-3.7848,TRAIL
33,SOL,M15+H1,SHORT,2026-01-18 19:45,2026-01-19 00:15,142.2,133.96,1000.0,100.0,0.0,NO,SHORT,SHORT,129.82,133.7146,57.9466,0.6933,57.2532,TRAIL
34,SOL,M15+H1,LONG,2026-02-15 03:45,2026-02-15 12:45,88.56,87.27,1000.0,100.0,0.0,NO,LONG,LONG,91.19,88.4543,-14.5664,0.7088,-15.2752,TRAIL
35,SOL,M15+H1,SHORT,2026-02-18 11:15,2026-02-19 20:00,83.52,81.96,1000.0,100.0,0.0,NO,SHORT,SHORT,79.57,81.9571,18.6782,0.7073,17.9708,TRAIL
36,SOL,M15+H1,LONG,2026-02-26 09:00,2026-02-26 15:15,88.31,85.75,1000.0,100.0,0.0,NO,LONG,LONG,88.54,85.8838,-28.9888,0.7037,-29.6924,TRAIL
37,SOL,M15+H1,SHORT,2026-03-01 19:45,2026-03-02 00:30,83.19,84.9,1000.0,100.0,0.0,NO,SHORT,SHORT,81.64,84.0892,-20.5554,0.7213,-21.2767,TRAIL
38,SOL,M15+H1,LONG,2026-03-03 03:30,2026-03-03 10:00,86.53,83.84,1000.0,100.0,0.0,NO,LONG,,86.77,84.1669,-31.0875,0.7029,-31.7904,TRAIL
39,SOL,M15+H1,SHORT,2026-03-07 16:00,2026-03-09 00:30,83.71,82.6,1000.0,100.0,0.0,NO,SHORT,SHORT,80.18,82.5854,13.2601,0.7093,12.5508,TRAIL
40,SOL,M15+H1,LONG,2026-03-10 14:30,2026-03-10 19:00,86.65,86.02,1000.0,100.0,0.0,NO,LONG,LONG,88.78,86.1166,-7.2706,0.7114,-7.982,TRAIL
41,SOL,M15+H1,SHORT,2026-03-20 07:00,2026-03-22 04:00,88.58,88.87,1000.0,100.0,0.0,NO,SHORT,SHORT,86.18,88.7654,-3.2739,0.7152,-3.989,TRAIL
42,SOL,M15+H1,LONG,2026-03-24 04:00,2026-03-24 14:30,90.64,89.32,1000.0,100.0,0.0,NO,LONG,LONG,92.2,89.434,-14.5631,0.7088,-15.2719,TRAIL
43,SOL,M15+H1,SHORT,2026-03-29 00:00,2026-03-29 23:00,82.03,81.14,1000.0,100.0,0.0,NO,SHORT,SHORT,78.77,81.1331,10.8497,0.7101,10.1396,TRAIL
44,SOL,M15+H1,LONG,2026-04-05 23:45,2026-04-06 22:45,81.85,80.11,1000.0,100.0,0.0,NO,LONG,,83.18,80.6846,-21.2584,0.7064,-21.9648,TRAIL
45,SOL,M15+H1,SHORT,2026-04-21 18:00,2026-04-22 02:15,85.24,87.22,1000.0,100.0,0.0,NO,SHORT,,84.26,86.7878,-23.2285,0.7223,-23.9508,TRAIL
46,SOL,M15+H1,LONG,2026-04-22 18:00,2026-04-23 03:30,88.1,85.66,1000.0,100.0,0.0,NO,LONG,LONG,88.34,85.6898,-27.6958,0.7041,-28.3999,TRAIL
47,SOL,M15+H1,SHORT,2026-04-26 01:15,2026-04-26 21:45,85.92,86.77,1000.0,100.0,0.0,NO,SHORT,LONG,85.78,88.3534,-9.8929,0.7175,-10.6105,FLIP_H1
48,SOL,M15+H1,LONG,2026-04-26 21:45,2026-04-27 07:30,86.77,85.41,1000.0,100.0,0.0,NO,LONG,,88.08,85.4376,-15.6736,0.7084,-16.382,TRAIL
49,SOL,M15+H1,SHORT,2026-04-28 20:30,2026-04-30 00:45,83.77,83.77,1000.0,100.0,0.0,NO,SHORT,SHORT,81.31,83.7493,0.0,0.714,-0.714,TRAIL
50,SOL,M15+H1,LONG,2026-05-03 15:15,2026-05-12 09:00,84.3,95.34,1000.0,100.0,0.0,NO,LONG,LONG,98.36,95.4092,130.9609,0.7608,130.2001,TRAIL
51,SOL,M15+H1,SHORT,2026-05-14 07:00,2026-05-14 16:00,90.87,93.45,1000.0,100.0,0.0,NO,SHORT,SHORT,90.46,93.1738,-28.3922,0.7241,-29.1163,TRAIL
52,SOL,M15+H1,LONG,2026-05-21 17:15,2026-05-22 19:00,87.77,85.09,1000.0,100.0,0.0,NO,LONG,,87.98,85.3406,-30.5344,0.7031,-31.2375,TRAIL
53,SOL,M15+H1,SHORT,2026-05-23 15:15,2026-05-23 20:30,83.89,86.4,1000.0,100.0,0.0,NO,SHORT,,83.58,86.0874,-29.9201,0.7247,-30.6448,TRAIL
