trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,SUI,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,3.5671,3.596,1000.0,100.0,0.0,NO,SHORT,SHORT,3.4864,3.590992,-8.1018,0.7169,-8.8187,TRAIL
2,SUI,M15+H1,LONG,2025-08-08 17:00,2025-08-10 06:15,3.8035,3.8611,1000.0,100.0,0.0,NO,LONG,LONG,4.0,3.88,15.1439,0.7194,14.4245,TRAIL
3,SUI,M15+H1,SHORT,2025-08-16 08:15,2025-08-17 02:30,3.71,3.7792,1000.0,100.0,0.0,NO,SHORT,SHORT,3.665,3.77495,-18.6523,0.7207,-19.3729,TRAIL
4,SUI,M15+H1,LONG,2025-08-23 04:00,2025-08-23 16:15,3.6603,3.6874,1000.0,100.0,0.0,NO,LONG,LONG,3.8045,3.690365,7.4038,0.7166,6.6871,TRAIL
5,SUI,M15+H1,SHORT,2025-08-26 05:45,2025-08-26 19:45,3.4178,3.4814,1000.0,100.0,0.0,NO,SHORT,SHORT,3.3514,3.451942,-18.6085,0.7206,-19.3291,TRAIL
6,SUI,M15+H1,LONG,2025-09-03 05:15,2025-09-04 06:00,3.2971,3.3027,1000.0,100.0,0.0,NO,LONG,LONG,3.4052,3.303044,1.6985,0.7146,0.9839,TRAIL
7,SUI,M15+H1,SHORT,2025-09-16 00:15,2025-09-16 11:30,3.5124,3.5702,1000.0,100.0,0.0,NO,SHORT,SHORT,3.4647,3.568641,-16.456,0.7199,-17.1759,TRAIL
8,SUI,M15+H1,LONG,2025-09-18 23:45,2025-09-19 06:45,3.8881,3.7933,1000.0,100.0,0.0,NO,LONG,LONG,3.9156,3.798132,-24.3821,0.7053,-25.0874,TRAIL
9,SUI,M15+H1,SHORT,2025-09-21 13:00,2025-09-22 06:00,3.6474,3.3436,1000.0,100.0,0.0,NO,SHORT,SHORT,3.2148,3.311244,83.2922,0.6843,82.6079,TRAIL
10,SUI,M15+H1,LONG,2025-09-29 13:45,2025-09-30 08:30,3.2717,3.2283,1000.0,100.0,0.0,NO,LONG,LONG,3.3284,3.228548,-13.2653,0.7093,-13.9745,TRAIL
11,SUI,M15+H1,SHORT,2025-10-08 07:30,2025-10-08 17:15,3.4597,3.5382,1000.0,100.0,0.0,NO,SHORT,SHORT,3.4273,3.530119,-22.6898,0.7221,-23.4119,TRAIL
12,SUI,M15+H1,LONG,2025-10-15 07:45,2025-10-15 12:15,2.8373,2.7809,1000.0,100.0,0.0,NO,LONG,,2.8897,2.803009,-19.8781,0.7069,-20.585,TRAIL
13,SUI,M15+H1,SHORT,2025-10-16 15:45,2025-10-16 16:45,2.5893,2.6409,1000.0,100.0,0.0,NO,SHORT,SHORT,2.561,2.63783,-19.9282,0.7211,-20.6493,TRAIL
14,SUI,M15+H1,LONG,2025-10-27 17:30,2025-10-27 22:30,2.6734,2.6038,1000.0,100.0,0.0,NO,LONG,LONG,2.6845,2.603965,-26.0343,0.7047,-26.739,TRAIL
15,SUI,M15+H1,SHORT,2025-10-30 08:45,2025-10-30 22:30,2.4919,2.2738,1000.0,100.0,0.0,NO,SHORT,SHORT,2.2063,2.272489,87.5236,0.6828,86.8408,TRAIL
16,SUI,M15+H1,LONG,2025-11-08 07:45,2025-11-08 13:45,2.1603,2.0887,1000.0,100.0,0.0,NO,LONG,LONG,2.1664,2.101408,-33.1435,0.7022,-33.8457,TRAIL
