trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,TIA,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 01:30,1.6612,1.6764,1000.0,100.0,0.0,NO,SHORT,SHORT,1.6266,1.675398,-9.15,0.7173,-9.8673,TRAIL
2,TIA,M15+H1,LONG,2025-08-05 06:00,2025-08-05 07:30,1.6906,1.6442,1000.0,100.0,0.0,NO,LONG,LONG,1.6975,1.646575,-27.4459,0.7042,-28.1501,TRAIL
3,TIA,M15+H1,SHORT,2025-08-18 01:45,2025-08-18 22:00,1.7909,1.7752,1000.0,100.0,0.0,NO,SHORT,SHORT,1.7191,1.770673,8.7665,0.7109,8.0557,TRAIL
4,TIA,M15+H1,LONG,2025-08-23 11:00,2025-08-24 06:00,1.8628,1.8068,1000.0,100.0,0.0,NO,LONG,LONG,1.8759,1.819623,-30.0623,0.7033,-30.7655,TRAIL
5,TIA,M15+H1,SHORT,2025-08-26 09:30,2025-08-26 16:30,1.621,1.6624,1000.0,100.0,0.0,NO,SHORT,SHORT,1.6126,1.660978,-25.5398,0.7231,-26.2629,TRAIL
6,TIA,M15+H1,LONG,2025-09-06 00:15,2025-09-09 02:45,1.6176,1.6945,1000.0,100.0,0.0,NO,LONG,LONG,1.7509,1.698373,47.5396,0.731,46.8086,TRAIL
7,TIA,M15+H1,SHORT,2025-09-16 06:30,2025-09-16 17:00,1.6858,1.7183,1000.0,100.0,0.0,NO,SHORT,SHORT,1.6652,1.715156,-19.2787,0.7209,-19.9996,TRAIL
8,TIA,M15+H1,LONG,2025-09-18 23:30,2025-09-19 04:00,1.8136,1.7827,1000.0,100.0,0.0,NO,LONG,LONG,1.8499,1.794403,-17.0379,0.7079,-17.7459,TRAIL
9,TIA,M15+H1,SHORT,2025-09-21 12:15,2025-09-22 06:00,1.7124,1.5003,1000.0,100.0,0.0,NO,SHORT,SHORT,1.415,1.45745,123.8612,0.6698,123.1915,TRAIL
10,TIA,M15+H1,LONG,2025-10-02 15:45,2025-10-03 01:45,1.4763,1.4683,1000.0,100.0,0.0,NO,LONG,LONG,1.517,1.47149,-5.419,0.7121,-6.131,TRAIL
11,TIA,M15+H1,SHORT,2025-10-09 23:00,2025-10-10 11:45,1.4359,1.465,1000.0,100.0,0.0,NO,SHORT,,1.4218,1.464454,-20.266,0.7212,-20.9873,TRAIL
12,TIA,M15+H1,LONG,2025-10-26 18:45,2025-10-27 08:15,1.0541,1.0541,1000.0,100.0,0.0,NO,LONG,LONG,1.0906,1.057882,0.0,0.714,-0.714,TRAIL
13,TIA,M15+H1,SHORT,2025-10-30 07:45,2025-10-30 22:00,0.9991,0.9045,1000.0,100.0,0.0,NO,SHORT,SHORT,0.878,0.90434,94.6852,0.6802,94.005,TRAIL
14,TIA,M15+H1,LONG,2025-11-07 13:00,2025-11-07 23:00,0.8198,1.0918,1000.0,100.0,0.0,NO,LONG,LONG,1.1808,1.145376,331.7882,0.8324,330.9558,TRAIL
15,TIA,M15+H1,SHORT,2025-11-11 18:00,2025-11-12 08:30,0.9888,0.9706,1000.0,100.0,0.0,NO,SHORT,SHORT,0.9423,0.970569,18.4061,0.7074,17.6987,TRAIL
16,TIA,M15+H1,LONG,2025-11-28 01:15,2025-11-28 02:00,0.6489,0.6225,1000.0,100.0,0.0,NO,LONG,LONG,0.6491,0.629627,-40.6842,0.6995,-41.3837,TRAIL
17,TIA,M15+H1,SHORT,2025-12-01 20:45,2025-12-02 13:15,0.5641,0.5677,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5479,0.564337,-6.3818,0.7163,-7.0981,TRAIL
18,TIA,M15+H1,LONG,2025-12-10 03:30,2025-12-10 12:15,0.622,0.6041,1000.0,100.0,0.0,NO,LONG,LONG,0.6235,0.604795,-28.7781,0.7037,-29.4819,TRAIL
19,TIA,M15+H1,SHORT,2025-12-14 01:45,2025-12-15 00:45,0.578,0.5454,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5294,0.545282,56.4014,0.6939,55.7075,TRAIL
20,TIA,M15+H1,LONG,2025-12-27 04:00,2025-12-28 18:15,0.4644,0.4706,1000.0,100.0,0.0,NO,LONG,LONG,0.4864,0.471808,13.3506,0.7188,12.6318,TRAIL
21,TIA,M15+H1,SHORT,2025-12-31 17:15,2025-12-31 21:00,0.4509,0.4594,1000.0,100.0,0.0,NO,SHORT,SHORT,0.4456,0.458968,-18.8512,0.7207,-19.5719,TRAIL
22,TIA,M15+H1,LONG,2026-01-02 08:45,2026-01-03 07:15,0.4972,0.5123,1000.0,100.0,0.0,NO,LONG,LONG,0.536,0.51992,30.3701,0.7248,29.6452,TRAIL
23,TIA,M15+H1,SHORT,2026-01-08 16:00,2026-01-08 22:00,0.5561,0.5552,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5376,0.553728,1.6184,0.7134,0.905,TRAIL
24,TIA,M15+H1,LONG,2026-01-14 13:15,2026-01-14 17:45,0.6072,0.593,1000.0,100.0,0.0,NO,LONG,LONG,0.6143,0.595871,-23.386,0.7057,-24.0917,TRAIL
25,TIA,M15+H1,SHORT,2026-01-17 23:15,2026-01-19 00:00,0.5761,0.4957,1000.0,100.0,0.0,NO,SHORT,SHORT,0.4698,0.483894,139.5591,0.6642,138.8949,TRAIL
26,TIA,M15+H1,LONG,2026-02-15 03:45,2026-02-15 12:00,0.3575,0.3506,1000.0,100.0,0.0,NO,LONG,LONG,0.3618,0.350946,-19.3007,0.7071,-20.0078,TRAIL
27,TIA,M15+H1,SHORT,2026-02-18 13:45,2026-02-20 00:15,0.3366,0.3217,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3108,0.320124,44.2662,0.6982,43.568,TRAIL
28,TIA,M15+H1,LONG,2026-02-26 02:30,2026-02-26 11:15,0.3467,0.3372,1000.0,100.0,0.0,NO,LONG,LONG,0.3487,0.338239,-27.4012,0.7042,-28.1054,TRAIL
29,TIA,M15+H1,SHORT,2026-03-01 19:45,2026-03-01 22:00,0.3129,0.3181,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3075,0.316725,-16.6187,0.7199,-17.3387,TRAIL
30,TIA,M15+H1,LONG,2026-03-03 21:15,2026-03-04 09:45,0.327,0.3469,1000.0,100.0,0.0,NO,LONG,LONG,0.3601,0.349297,60.8563,0.7357,60.1205,TRAIL
31,TIA,M15+H1,SHORT,2026-03-08 11:00,2026-03-09 00:30,0.3182,0.3156,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3064,0.315592,8.171,0.7111,7.4599,TRAIL
32,TIA,M15+H1,LONG,2026-03-11 16:00,2026-03-12 02:45,0.3337,0.3296,1000.0,100.0,0.0,NO,LONG,LONG,0.3448,0.334456,-12.2865,0.7096,-12.9961,TRAIL
33,TIA,M15+H1,SHORT,2026-03-19 03:30,2026-03-20 05:00,0.3463,0.3402,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3302,0.340106,17.6148,0.7077,16.9071,TRAIL
34,TIA,M15+H1,LONG,2026-03-25 16:15,2026-03-26 05:30,0.3331,0.3232,1000.0,100.0,0.0,NO,LONG,,0.3338,0.323786,-29.7208,0.7034,-30.4242,TRAIL
35,TIA,M15+H1,SHORT,2026-03-27 09:00,2026-03-30 00:00,0.3106,0.2905,1000.0,100.0,0.0,NO,SHORT,SHORT,0.282,0.29046,64.7135,0.6909,64.0226,TRAIL
36,TIA,M15+H1,LONG,2026-04-06 17:15,2026-04-06 23:00,0.2946,0.286,1000.0,100.0,0.0,NO,LONG,,0.2955,0.286635,-29.1921,0.7036,-29.8957,TRAIL
37,TIA,M15+H1,SHORT,2026-04-07 18:45,2026-04-07 21:00,0.285,0.2948,1000.0,100.0,0.0,NO,SHORT,,0.2847,0.293241,-34.386,0.7263,-35.1122,TRAIL
38,TIA,M15+H1,LONG,2026-04-08 11:45,2026-04-08 19:15,0.3077,0.3,1000.0,100.0,0.0,NO,LONG,LONG,0.3095,0.300215,-25.0244,0.7051,-25.7294,TRAIL
