trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,XRP,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:45,2.9918,3.0172,1000.0,100.0,0.0,NO,SHORT,SHORT,2.9279,3.015737,-8.4899,0.717,-9.2069,TRAIL
2,XRP,M15+H1,LONG,2025-08-06 17:30,2025-08-08 14:45,2.9973,3.2793,1000.0,100.0,0.0,NO,LONG,LONG,3.3813,3.279861,94.0847,0.7476,93.3371,TRAIL
3,XRP,M15+H1,SHORT,2025-08-11 21:45,2025-08-12 14:30,3.1369,3.1972,1000.0,100.0,0.0,NO,SHORT,SHORT,3.1024,3.195472,-19.2228,0.7209,-19.9437,TRAIL
4,XRP,M15+H1,LONG,2025-08-23 01:45,2025-08-24 19:45,3.0249,3.0334,1000.0,100.0,0.0,NO,LONG,LONG,3.1275,3.033675,2.81,0.715,2.095,TRAIL
5,XRP,M15+H1,SHORT,2025-08-26 06:45,2025-08-26 18:15,2.9095,2.9732,1000.0,100.0,0.0,NO,SHORT,SHORT,2.8862,2.972786,-21.8938,0.7218,-22.6156,TRAIL
6,XRP,M15+H1,LONG,2025-09-05 11:15,2025-09-06 15:45,2.8443,2.8009,1000.0,100.0,0.0,NO,LONG,SHORT,2.8843,2.797771,-15.2586,0.7086,-15.9671,FLIP_H1
7,XRP,M15+H1,SHORT,2025-09-06 15:45,2025-09-07 14:00,2.8009,2.9062,1000.0,100.0,0.0,NO,SHORT,,2.791,2.87473,-37.5951,0.7274,-38.3225,TRAIL
8,XRP,M15+H1,LONG,2025-09-08 07:00,2025-09-09 15:30,2.8878,2.9378,1000.0,100.0,0.0,NO,LONG,LONG,3.0363,2.945211,17.3142,0.7202,16.594,TRAIL
9,XRP,M15+H1,SHORT,2025-09-17 09:45,2025-09-17 22:30,3.0132,3.0746,1000.0,100.0,0.0,NO,SHORT,,2.9803,3.069709,-20.377,0.7213,-21.0983,TRAIL
10,XRP,M15+H1,LONG,2025-09-18 19:45,2025-09-19 14:30,3.1064,3.0125,1000.0,100.0,0.0,NO,LONG,,3.1072,3.013984,-30.2279,0.7032,-30.9311,TRAIL
11,XRP,M15+H1,SHORT,2025-09-20 06:00,2025-09-22 06:00,2.9959,2.7849,1000.0,100.0,0.0,NO,SHORT,SHORT,2.6704,2.750512,70.4296,0.6889,69.7407,TRAIL
12,XRP,M15+H1,LONG,2025-09-29 11:15,2025-09-30 09:45,2.8602,2.8381,1000.0,100.0,0.0,NO,LONG,LONG,2.9278,2.839966,-7.7267,0.7112,-8.438,TRAIL
13,XRP,M15+H1,SHORT,2025-10-07 07:00,2025-10-08 17:15,2.9674,2.9148,1000.0,100.0,0.0,NO,SHORT,SHORT,2.8284,2.913252,17.726,0.7077,17.0183,TRAIL
14,XRP,M15+H1,LONG,2025-10-20 17:45,2025-10-21 01:30,2.4587,2.4709,1000.0,100.0,0.0,NO,LONG,LONG,2.5514,2.474858,4.962,0.7158,4.2462,TRAIL
15,XRP,M15+H1,SHORT,2025-10-31 02:00,2025-10-31 15:00,2.4632,2.5349,1000.0,100.0,0.0,NO,SHORT,SHORT,2.4513,2.524839,-29.1085,0.7244,-29.8329,TRAIL
16,XRP,M15+H1,LONG,2025-11-08 06:30,2025-11-08 15:15,2.3161,2.2593,1000.0,100.0,0.0,NO,LONG,,2.333,2.26301,-24.524,0.7052,-25.2292,TRAIL
17,XRP,M15+H1,SHORT,2025-11-14 14:45,2025-11-15 02:30,2.3012,2.2912,1000.0,100.0,0.0,NO,SHORT,SHORT,2.2235,2.290205,4.3456,0.7124,3.6331,TRAIL
18,XRP,M15+H1,LONG,2025-11-24 15:45,2025-11-25 07:45,2.0897,2.2158,1000.0,100.0,0.0,NO,LONG,LONG,2.285,2.21645,60.3436,0.7355,59.608,TRAIL
19,XRP,M15+H1,SHORT,2025-12-01 21:45,2025-12-02 14:15,2.0251,2.0589,1000.0,100.0,0.0,NO,SHORT,SHORT,1.9937,2.053511,-16.6905,0.72,-17.4105,TRAIL
20,XRP,M15+H1,LONG,2025-12-09 16:00,2025-12-09 20:15,2.1492,2.1114,1000.0,100.0,0.0,NO,LONG,LONG,2.1774,2.112078,-17.5879,0.7077,-18.2957,TRAIL
21,XRP,M15+H1,SHORT,2025-12-11 18:45,2025-12-13 04:15,2.0066,2.0259,1000.0,100.0,0.0,NO,SHORT,SHORT,1.9662,2.025186,-9.6183,0.7174,-10.3357,TRAIL
22,XRP,M15+H1,LONG,2025-12-21 03:00,2025-12-23 03:00,1.9274,1.8887,1000.0,100.0,0.0,NO,LONG,,1.949,1.89053,-20.0789,0.7068,-20.7857,TRAIL
23,XRP,M15+H1,SHORT,2025-12-23 20:45,2025-12-26 07:00,1.8796,1.8811,1000.0,100.0,0.0,NO,SHORT,,1.8234,1.878102,-0.798,0.7143,-1.5123,TRAIL
24,XRP,M15+H1,LONG,2025-12-31 06:00,2025-12-31 20:00,1.8721,1.8158,1000.0,100.0,0.0,NO,LONG,SHORT,1.8824,1.825928,-30.0732,0.7033,-30.7764,TRAIL
25,XRP,M15+H1,SHORT,2026-01-01 07:45,2026-01-02 09:45,1.8413,1.8966,1000.0,100.0,0.0,NO,SHORT,LONG,1.8405,1.895715,-30.0331,0.7247,-30.7579,TRAIL
26,XRP,M15+H1,LONG,2026-01-03 07:30,2026-01-06 07:30,1.9986,2.3395,1000.0,100.0,0.0,NO,LONG,LONG,2.4175,2.344975,170.5694,0.7749,169.7945,TRAIL
27,XRP,M15+H1,SHORT,2026-01-09 14:00,2026-01-09 15:15,2.0919,2.144,1000.0,100.0,0.0,NO,SHORT,SHORT,2.0779,2.140237,-24.9056,0.7229,-25.6285,TRAIL
28,XRP,M15+H1,LONG,2026-01-14 09:00,2026-01-15 02:45,2.1523,2.104,1000.0,100.0,0.0,NO,LONG,,2.1758,2.110526,-22.4411,0.706,-23.1471,TRAIL
29,XRP,M15+H1,SHORT,2026-01-18 12:00,2026-01-19 00:00,2.0525,1.9257,1000.0,100.0,0.0,NO,SHORT,SHORT,1.8406,1.895818,61.7783,0.6919,61.0864,TRAIL
30,XRP,M15+H1,LONG,2026-02-15 13:00,2026-02-15 17:45,1.5331,1.4932,1000.0,100.0,0.0,NO,LONG,LONG,1.543,1.49671,-26.0257,0.7047,-26.7304,TRAIL
31,XRP,M15+H1,SHORT,2026-02-18 16:45,2026-02-20 01:30,1.4588,1.4221,1000.0,100.0,0.0,NO,SHORT,SHORT,1.3791,1.420473,25.1577,0.705,24.4526,TRAIL
32,XRP,M15+H1,LONG,2026-02-26 09:00,2026-02-26 16:30,1.4456,1.4056,1000.0,100.0,0.0,NO,LONG,LONG,1.4563,1.412611,-27.6702,0.7041,-28.3743,TRAIL
33,XRP,M15+H1,SHORT,2026-03-01 19:30,2026-03-02 15:00,1.3541,1.4012,1000.0,100.0,0.0,NO,SHORT,,1.3329,1.372887,-34.7833,0.7264,-35.5097,TRAIL
34,XRP,M15+H1,LONG,2026-03-05 02:00,2026-03-05 16:00,1.4262,1.3994,1000.0,100.0,0.0,NO,LONG,LONG,1.4518,1.408246,-18.7912,0.7073,-19.4985,TRAIL
35,XRP,M15+H1,SHORT,2026-03-08 00:15,2026-03-09 03:00,1.3555,1.3611,1000.0,100.0,0.0,NO,SHORT,SHORT,1.3207,1.360321,-4.1313,0.7155,-4.8468,TRAIL
36,XRP,M15+H1,LONG,2026-03-10 20:00,2026-03-12 05:15,1.3882,1.3664,1000.0,100.0,0.0,NO,LONG,,1.4105,1.368185,-15.7038,0.7084,-16.4122,TRAIL
37,XRP,M15+H1,SHORT,2026-03-19 23:15,2026-03-23 11:00,1.448,1.4269,1000.0,100.0,0.0,NO,SHORT,SHORT,1.3608,1.401624,14.5718,0.7088,13.863,TRAIL
38,XRP,M15+H1,LONG,2026-04-01 19:15,2026-04-02 03:00,1.3524,1.313,1000.0,100.0,0.0,NO,LONG,,1.3564,1.315708,-29.1334,0.7036,-29.837,TRAIL
39,XRP,M15+H1,SHORT,2026-04-04 09:30,2026-04-05 23:00,1.312,1.3195,1000.0,100.0,0.0,NO,SHORT,,1.277,1.31531,-5.7165,0.716,-6.4325,TRAIL
40,XRP,M15+H1,LONG,2026-04-06 17:15,2026-04-07 14:00,1.3411,1.2987,1000.0,100.0,0.0,NO,LONG,,1.3432,1.302904,-31.6158,0.7027,-32.3186,TRAIL
41,XRP,M15+H1,SHORT,2026-04-11 15:00,2026-04-13 22:00,1.3419,1.3588,1000.0,100.0,0.0,NO,SHORT,,1.3181,1.357643,-12.5941,0.7185,-13.3126,TRAIL
42,XRP,M15+H1,LONG,2026-04-14 12:45,2026-04-15 07:15,1.3663,1.3519,1000.0,100.0,0.0,NO,LONG,,1.395,1.35315,-10.5394,0.7102,-11.2497,TRAIL
43,XRP,M15+H1,SHORT,2026-04-20 08:30,2026-04-22 05:15,1.4108,1.4585,1000.0,100.0,0.0,NO,SHORT,,1.4062,1.448386,-33.8106,0.7261,-34.5367,TRAIL
44,XRP,M15+H1,LONG,2026-04-22 17:00,2026-04-23 10:00,1.4501,1.4082,1000.0,100.0,0.0,NO,LONG,,1.4523,1.408731,-28.8946,0.7037,-29.5982,TRAIL
45,XRP,M15+H1,SHORT,2026-04-28 06:15,2026-05-01 13:00,1.393,1.3885,1000.0,100.0,0.0,NO,SHORT,,1.3442,1.384526,3.2304,0.7128,2.5176,TRAIL
46,XRP,M15+H1,LONG,2026-05-03 12:30,2026-05-07 02:00,1.3964,1.4099,1000.0,100.0,0.0,NO,LONG,LONG,1.4568,1.413096,9.6677,0.7175,8.9503,TRAIL
47,XRP,M15+H1,SHORT,2026-05-08 10:00,2026-05-09 01:00,1.3848,1.4281,1000.0,100.0,0.0,NO,SHORT,LONG,1.3828,1.424284,-31.2681,0.7252,-31.9932,TRAIL
48,XRP,M15+H1,LONG,2026-05-09 10:30,2026-05-10 02:30,1.4213,1.4166,1000.0,100.0,0.0,NO,LONG,SHORT,1.4245,1.381765,-3.3068,0.7128,-4.0197,FLIP_H1
49,XRP,M15+H1,SHORT,2026-05-10 02:30,2026-05-10 16:15,1.4166,1.4685,1000.0,100.0,0.0,NO,SHORT,LONG,1.4136,1.456008,-36.637,0.7271,-37.3641,TRAIL
50,XRP,M15+H1,LONG,2026-05-11 05:15,2026-05-12 13:45,1.4528,1.4337,1000.0,100.0,0.0,NO,LONG,,1.488,1.44336,-13.147,0.7093,-13.8563,TRAIL
51,XRP,M15+H1,SHORT,2026-05-16 17:45,2026-05-18 02:00,1.4161,1.4015,1000.0,100.0,0.0,NO,SHORT,SHORT,1.36,1.4008,10.31,0.7103,9.5997,TRAIL
