trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
1,SHORT,2025-03-27 20:00:00+00:00,2025-03-28 05:00:00+00:00,3057.03,3081.48624,0.6542297589490452,HARD_SL,-15.999999999999984,1.4056,-17.405599999999986
2,LONG,2025-03-30 12:00:00+00:00,2025-03-30 21:00:00+00:00,3127.99,3112.72,0.6393882333383419,REVERSE_SIGNAL,-9.76345832307647,1.3965827895869232,-11.160041112663393
3,SHORT,2025-03-30 21:00:00+00:00,2025-03-31 06:00:00+00:00,3112.72,3137.62176,0.6425248657123032,HARD_SL,-16.000000000000128,1.4056,-17.405600000000128
4,LONG,2025-03-31 07:00:00+00:00,2025-04-01 16:00:00+00:00,3141.33,3133.78,0.6366730015630322,REVERSE_SIGNAL,-4.806881161800719,1.3983175915933697,-6.205198753394089
5,SHORT,2025-04-01 16:00:00+00:00,2025-04-02 23:00:00+00:00,3133.78,3158.85024,0.6382068939108679,HARD_SL,-16.000000000000007,1.4056,-17.405600000000007
6,LONG,2025-04-03 00:00:00+00:00,2025-04-03 03:00:00+00:00,3187.99,3162.4860799999997,0.6273545400079674,HARD_SL,-16.000000000000068,1.3944,-17.39440000000007
7,SHORT,2025-04-03 11:00:00+00:00,2025-04-03 14:00:00+00:00,3109.52,3134.39616,0.6431860865985747,HARD_SL,-15.99999999999987,1.4056,-17.405599999999872
8,LONG,2025-04-07 03:00:00+00:00,2025-04-07 13:00:00+00:00,3048.37,3023.98304,0.6560883357335232,HARD_SL,-15.999999999999881,1.3944,-17.39439999999988
9,SHORT,2025-04-07 17:00:00+00:00,2025-04-08 01:00:00+00:00,2995.23,3019.19184,0.6677283547507203,HARD_SL,-15.99999999999996,1.4056,-17.40559999999996
10,LONG,2025-04-09 07:00:00+00:00,2025-04-12 14:00:00+00:00,3053.79,3246.51,0.654923881471876,REVERSE_SIGNAL,126.2169304372601,1.444175925653041,124.77275451160706
