trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
1,SHORT,2025-03-27 20:00:00+00:00,2025-03-30 12:00:00+00:00,3057.03,3127.99,0.6542297589490452,REVERSE_SIGNAL,-46.42414369502398,1.4162484502932584,-47.84039214531724
2,LONG,2025-03-30 12:00:00+00:00,2025-03-30 21:00:00+00:00,3127.99,3112.72,0.6393882333383419,REVERSE_SIGNAL,-9.76345832307647,1.3965827895869232,-11.160041112663393
3,SHORT,2025-03-30 21:00:00+00:00,2025-03-31 07:00:00+00:00,3112.72,3141.33,0.6425248657123032,REVERSE_SIGNAL,-18.382636408029075,1.4064339227428102,-19.789070330771885
4,LONG,2025-03-31 07:00:00+00:00,2025-04-01 16:00:00+00:00,3141.33,3133.78,0.6366730015630322,REVERSE_SIGNAL,-4.806881161800719,1.3983175915933697,-6.205198753394089
5,SHORT,2025-04-01 16:00:00+00:00,2025-04-03 00:00:00+00:00,3133.78,3187.99,0.6382068939108679,REVERSE_SIGNAL,-34.597195718907884,1.4121090185016176,-36.0093047374095
6,LONG,2025-04-03 00:00:00+00:00,2025-04-03 11:00:00+00:00,3187.99,3109.52,0.6273545400079674,REVERSE_SIGNAL,-49.22851075442508,1.3827700212359513,-50.61128077566103
7,SHORT,2025-04-03 11:00:00+00:00,2025-04-07 03:00:00+00:00,3109.52,3048.37,0.6431860865985747,REVERSE_SIGNAL,39.3308291955029,1.386234209781574,37.944594985721324
8,LONG,2025-04-07 03:00:00+00:00,2025-04-07 17:00:00+00:00,3048.37,2995.23,0.6560883357335232,REVERSE_SIGNAL,-34.86453416087934,1.3877974130436923,-36.25233157392303
9,SHORT,2025-04-07 17:00:00+00:00,2025-04-09 07:00:00+00:00,2995.23,3053.79,0.6677283547507203,REVERSE_SIGNAL,-39.10217245420215,1.4136857603589708,-40.51585821456112
10,LONG,2025-04-09 07:00:00+00:00,2025-04-12 14:00:00+00:00,3053.79,3246.51,0.654923881471876,REVERSE_SIGNAL,126.2169304372601,1.444175925653041,124.77275451160706
11,SHORT,2025-04-12 14:00:00+00:00,2025-04-13 16:00:00+00:00,3246.51,3263.85,0.616046154177871,REVERSE_SIGNAL,-10.682240313444092,1.4037387841097055,-12.085979097553798
12,LONG,2025-04-13 16:00:00+00:00,2025-04-14 11:00:00+00:00,3263.85,3232.44,0.6127732585749958,REVERSE_SIGNAL,-19.247208051840527,1.3932634771818557,-20.64047152902238
13,SHORT,2025-04-14 11:00:00+00:00,2025-04-16 00:00:00+00:00,3232.44,3265.71,0.6187276484636992,REVERSE_SIGNAL,-20.58506886438726,1.4072047741025355,-21.992273638489795
14,LONG,2025-04-16 00:00:00+00:00,2025-04-17 14:00:00+00:00,3265.71,3333.66,0.6124242507754822,REVERSE_SIGNAL,41.614227840193905,1.4145649797440678,40.199662860449834
15,SHORT,2025-04-17 14:00:00+00:00,2025-04-20 23:00:00+00:00,3333.66,3362.14,0.5999412057618354,REVERSE_SIGNAL,-17.086325540097082,1.405980213939034,-18.492305754036117
16,LONG,2025-04-20 23:00:00+00:00,2025-04-22 09:00:00+00:00,3362.14,3458.77,0.5948592265640337,REVERSE_SIGNAL,57.48124706288264,1.420118436472009,56.06112862641063
