trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,votes_for,votes_total,gross_pnl,fee_usd,net_pnl
1,LONG,2025-03-30 12:00:00+00:00,2025-03-30 21:00:00+00:00,3127.99,3112.72,0.639388,REVERSE_SIGNAL,2,3,-9.7635,1.3966,-11.16
2,SHORT,2025-03-30 21:00:00+00:00,2025-03-31 07:00:00+00:00,3112.72,3141.33,0.642525,REVERSE_SIGNAL,2,3,-18.3826,1.4064,-19.7891
3,LONG,2025-03-31 07:00:00+00:00,2025-04-01 16:00:00+00:00,3141.33,3133.78,0.636673,REVERSE_SIGNAL,2,3,-4.8069,1.3983,-6.2052
4,SHORT,2025-04-01 16:00:00+00:00,2025-04-03 00:00:00+00:00,3133.78,3187.99,0.638207,REVERSE_SIGNAL,3,3,-34.5972,1.4121,-36.0093
5,LONG,2025-04-03 00:00:00+00:00,2025-04-03 11:00:00+00:00,3187.99,3109.52,0.627355,REVERSE_SIGNAL,3,3,-49.2285,1.3828,-50.6113
6,SHORT,2025-04-03 11:00:00+00:00,2025-04-07 03:00:00+00:00,3109.52,3048.37,0.643186,REVERSE_SIGNAL,3,3,39.3308,1.3862,37.9446
7,LONG,2025-04-07 03:00:00+00:00,2025-04-07 17:00:00+00:00,3048.37,2995.23,0.656088,REVERSE_SIGNAL,2,3,-34.8645,1.3878,-36.2523
8,SHORT,2025-04-07 17:00:00+00:00,2025-04-09 07:00:00+00:00,2995.23,3053.79,0.667728,REVERSE_SIGNAL,3,3,-39.1022,1.4137,-40.5159
9,LONG,2025-04-09 07:00:00+00:00,2025-04-12 14:00:00+00:00,3053.79,3246.51,0.654924,REVERSE_SIGNAL,3,3,126.2169,1.4442,124.7728
10,SHORT,2025-04-12 14:00:00+00:00,2025-04-13 16:00:00+00:00,3246.51,3263.85,0.616046,REVERSE_SIGNAL,3,3,-10.6822,1.4037,-12.086
11,LONG,2025-04-13 16:00:00+00:00,2025-04-14 11:00:00+00:00,3263.85,3232.44,0.612773,REVERSE_SIGNAL,2,3,-19.2472,1.3933,-20.6405
12,SHORT,2025-04-14 11:00:00+00:00,2025-04-16 00:00:00+00:00,3232.44,3265.71,0.618728,REVERSE_SIGNAL,3,3,-20.5851,1.4072,-21.9923
13,LONG,2025-04-16 00:00:00+00:00,2025-04-17 14:00:00+00:00,3265.71,3333.66,0.612424,REVERSE_SIGNAL,3,3,41.6142,1.4146,40.1997
14,SHORT,2025-04-17 14:00:00+00:00,2025-04-20 23:00:00+00:00,3333.66,3362.14,0.599941,REVERSE_SIGNAL,3,3,-17.0863,1.406,-18.4923
15,LONG,2025-04-20 23:00:00+00:00,2025-04-22 09:00:00+00:00,3362.14,3458.77,0.594859,REVERSE_SIGNAL,3,3,57.4812,1.4201,56.0611
16,SHORT,2025-04-22 09:00:00+00:00,2025-04-24 02:00:00+00:00,3458.77,3371.62,0.57824,REVERSE_SIGNAL,2,3,50.3936,1.3824,49.0113
17,LONG,2025-04-24 02:00:00+00:00,2025-04-25 06:00:00+00:00,3371.62,3307.03,0.593187,REVERSE_SIGNAL,3,3,-38.3139,1.3866,-39.7005
18,SHORT,2025-04-25 06:00:00+00:00,2025-04-28 15:00:00+00:00,3307.03,3330.3,0.604772,REVERSE_SIGNAL,3,3,-14.0731,1.4049,-15.478
19,LONG,2025-04-28 15:00:00+00:00,2025-04-30 02:00:00+00:00,3330.3,3308.87,0.600546,REVERSE_SIGNAL,3,3,-12.8697,1.3955,-14.2652
20,SHORT,2025-04-30 02:00:00+00:00,2025-04-30 14:00:00+00:00,3308.87,3315.4,0.604436,REVERSE_SIGNAL,3,3,-3.947,1.4014,-5.3483
21,LONG,2025-04-30 14:00:00+00:00,2025-04-30 23:00:00+00:00,3315.4,3281.64,0.603245,REVERSE_SIGNAL,2,3,-20.3656,1.3929,-21.7584
22,SHORT,2025-04-30 23:00:00+00:00,2025-05-02 08:00:00+00:00,3281.64,3274.99,0.609451,REVERSE_SIGNAL,3,3,4.0529,1.3986,2.6543
23,LONG,2025-05-02 08:00:00+00:00,2025-05-02 17:00:00+00:00,3274.99,3241.05,0.610689,REVERSE_SIGNAL,3,3,-20.7268,1.3927,-22.1195
24,SHORT,2025-05-02 17:00:00+00:00,2025-05-05 02:00:00+00:00,3241.05,3279.22,0.617084,REVERSE_SIGNAL,2,3,-23.5541,1.4082,-24.9623
25,LONG,2025-05-05 02:00:00+00:00,2025-05-06 23:00:00+00:00,3279.22,3390.5,0.609901,REVERSE_SIGNAL,3,3,67.8698,1.4238,66.446
26,SHORT,2025-05-06 23:00:00+00:00,2025-05-08 02:00:00+00:00,3390.5,3415.58,0.589883,REVERSE_SIGNAL,2,3,-14.7943,1.4052,-16.1995
27,LONG,2025-05-08 02:00:00+00:00,2025-05-08 06:00:00+00:00,3415.58,3358.61,0.585552,REVERSE_SIGNAL,2,3,-33.3589,1.3883,-34.7472
28,SHORT,2025-05-08 06:00:00+00:00,2025-05-15 11:00:00+00:00,3358.61,3190.83,0.595484,REVERSE_SIGNAL,3,3,99.9104,1.365,98.5453
29,LONG,2025-05-15 11:00:00+00:00,2025-05-16 11:00:00+00:00,3190.83,3185.45,0.626796,REVERSE_SIGNAL,2,3,-3.3722,1.3988,-4.771
30,SHORT,2025-05-16 11:00:00+00:00,2025-05-18 05:00:00+00:00,3185.45,3234.55,0.627855,REVERSE_SIGNAL,3,3,-30.8277,1.4108,-32.2385
