signal_time,signal_side,hyper_turbo,alpha_1,alpha_2_nr,votes_for,votes_total,decision
2025-03-27 19:00:00+00:00,SHORT,FLAT,FLAT,LONG,0,3,FLAT
2025-03-30 11:00:00+00:00,LONG,LONG,FLAT,LONG,2,3,ENTER
2025-03-30 20:00:00+00:00,SHORT,SHORT,FLAT,SHORT,2,3,ENTER
2025-03-31 06:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-04-01 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-02 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-03 10:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-07 02:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-04-07 16:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-09 06:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-12 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-13 15:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-04-14 10:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-15 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-17 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-20 22:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-22 08:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-04-24 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-25 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-28 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-04-30 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-04-30 13:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-04-30 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-02 07:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-05-02 16:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-05-05 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-05-06 22:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-05-08 01:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-05-08 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-15 10:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-05-16 10:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-18 04:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-05-20 02:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-20 08:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-05-22 09:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-23 11:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-05-25 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-28 09:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-05-28 20:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-05-29 11:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-05-30 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-01 18:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-03 03:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-06-04 14:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-06-05 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-08 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-09 00:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-09 06:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-10 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-10 10:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-16 02:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-20 21:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-22 22:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-06-25 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-06-26 12:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-06-30 02:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-07-02 06:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-02 19:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-07-03 12:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-06 08:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-07-06 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-07 17:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-07-08 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-09 14:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-07-15 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-16 16:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-07-17 12:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-18 07:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-07-20 09:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-21 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-07-23 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-07-31 08:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-08-01 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-01 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-04 00:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-04 11:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
